gid,초등학교수,중학교수,고등학교수,어린이보호구역수,교차로,보행자작동신호기,횡단보도,음향신호기,안전표지,신호등,잔여시간표시기,도로면적,총인구수,단란주점,유흥주점,일반음식점,교통사고수,geometry,gu
다사50a38a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((950000 1938000, 950000 1938500, 950500 1938500, 950500 1938000, 950000 1938000))",관악구
다사49a39a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12004.594430944671,0.0,0,0,0,0,"POLYGON ((949000 1939000, 949000 1939500, 949500 1939500, 949500 1939000, 949000 1939000))",관악구 금천구
다사52b38a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((952500 1938000, 952500 1938500, 953000 1938500, 953000 1938000, 952500 1938000))",관악구
다사51b39b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((951500 1939500, 951500 1940000, 952000 1940000, 952000 1939500, 951500 1939500))",관악구
다사51a38a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((951000 1938000, 951000 1938500, 951500 1938500, 951500 1938000, 951000 1938000))",관악구
다사51b37b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((951500 1937500, 951500 1938000, 952000 1938000, 952000 1937500, 951500 1937500))",관악구
다사48a39b,1,0,0,1,0.0,0.0,9.0,0.0,34.0,16.0,2.0,5951.526960029116,0.0,0,0,0,0,"POLYGON ((948000 1939500, 948000 1940000, 948500 1940000, 948500 1939500, 948000 1939500))",관악구 금천구
다사52a39b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((952000 1939500, 952000 1940000, 952500 1940000, 952500 1939500, 952000 1939500))",관악구
다사53a40b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.562745103510778,0.0,0,0,0,0,"POLYGON ((953000 1940500, 953000 1941000, 953500 1941000, 953500 1940500, 953000 1940500))",관악구
다사49b39a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.632685963377,0.0,0,0,0,0,"POLYGON ((949500 1939000, 949500 1939500, 950000 1939500, 950000 1939000, 949500 1939000))",관악구
다사54b40a,0,0,0,0,0.0,0.0,1.0,1.0,71.0,97.0,1.0,19536.959248777355,0.0,0,0,0,5,"POLYGON ((954500 1940000, 954500 1940500, 955000 1940500, 955000 1940000, 954500 1940000))",관악구 서초구
다사50a39a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((950000 1939000, 950000 1939500, 950500 1939500, 950500 1939000, 950000 1939000))",관악구
다사52b38b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((952500 1938500, 952500 1939000, 953000 1939000, 953000 1938500, 952500 1938500))",관악구
다사54a40a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((954000 1940000, 954000 1940500, 954500 1940500, 954500 1940000, 954000 1940000))",관악구
다사53b40b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((953500 1940500, 953500 1941000, 954000 1941000, 954000 1940500, 953500 1940500))",관악구
다사48a43b,0,0,1,0,0.0,0.0,8.0,0.0,31.0,12.0,0.0,22966.70490308232,0.0,0,0,0,1,"POLYGON ((948000 1943500, 948000 1944000, 948500 1944000, 948500 1943500, 948000 1943500))",관악구 동작구
다사47b40b,1,1,0,1,0.0,0.0,62.0,0.0,125.0,24.0,0.0,20992.329077385235,0.0,0,0,0,4,"POLYGON ((947500 1940500, 947500 1941000, 948000 1941000, 948000 1940500, 947500 1940500))",관악구 금천구
다사50b39a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((950500 1939000, 950500 1939500, 951000 1939500, 951000 1939000, 950500 1939000))",관악구
다사52a38a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((952000 1938000, 952000 1938500, 952500 1938500, 952500 1938000, 952000 1938000))",관악구
다사50b38a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((950500 1938000, 950500 1938500, 951000 1938500, 951000 1938000, 950500 1938000))",관악구
다사49b38b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((949500 1938500, 949500 1939000, 950000 1939000, 950000 1938500, 949500 1938500))",관악구
다사52b39a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((952500 1939000, 952500 1939500, 953000 1939500, 953000 1939000, 952500 1939000))",관악구
다사50b37b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((950500 1937500, 950500 1938000, 951000 1938000, 951000 1937500, 950500 1937500))",관악구
다사63b52a,1,0,0,1,0.0,0.0,0.0,0.0,11.0,0.0,0.0,18632.48747335593,3566.0,0,0,0,1,"POLYGON ((963500 1952000, 963500 1952500, 964000 1952500, 964000 1952000, 963500 1952000))",광진구 중랑구
다사63b47b,0,0,0,0,0.0,0.0,20.0,0.0,126.0,10.0,0.0,56669.84930412892,375.0,0,0,0,15,"POLYGON ((963500 1947500, 963500 1948000, 964000 1948000, 964000 1947500, 963500 1947500))",광진구 송파구
다사63a51b,1,0,0,2,0.0,0.0,97.0,15.0,565.0,114.0,21.0,57652.34175001484,6740.0,0,0,0,25,"POLYGON ((963000 1951500, 963000 1952000, 963500 1952000, 963500 1951500, 963000 1951500))",광진구
다사61a48b,0,0,0,0,5.0,10.0,92.0,22.0,315.0,103.0,22.0,69619.09855525159,2481.0,0,0,0,29,"POLYGON ((961000 1948500, 961000 1949000, 961500 1949000, 961500 1948500, 961000 1948500))",광진구 성동구
